ID,Name,Nexus_File,rooted,type,method,scaling,Source
posterior-96,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-97,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-98,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-99,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-100,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-101,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-102,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-103,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-104,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-105,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-106,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-107,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-108,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-109,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-110,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-111,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-112,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-113,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-114,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-115,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-116,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-117,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-118,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-119,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-120,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-121,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-122,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-123,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-124,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-125,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-126,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-127,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-128,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-129,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-130,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-131,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-132,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-133,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-134,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-135,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-136,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-137,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-138,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-139,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-140,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-141,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-142,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-143,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-144,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-145,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-146,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-147,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-148,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-149,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-150,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-151,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-152,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-153,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-154,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-155,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-156,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-157,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-158,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-159,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-160,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-161,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-162,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-163,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-164,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-165,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-166,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-167,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-168,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-169,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-170,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-171,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-172,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-173,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-174,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-175,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-176,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-177,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-178,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-179,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-180,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-181,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-182,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-183,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-184,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-185,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-186,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-187,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-188,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-189,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-190,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-191,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-192,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-193,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-194,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-195,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-196,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-197,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-198,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-199,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-200,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-201,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-202,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-203,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-204,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-205,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-206,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-207,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-208,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-209,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-210,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-211,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-212,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-213,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-214,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-215,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-216,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-217,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-218,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-219,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-220,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-221,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-222,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-223,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-224,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-225,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-226,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-227,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-228,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-229,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-230,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-231,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-232,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-233,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-234,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-235,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-236,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-237,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-238,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-239,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-240,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-241,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-242,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-243,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-244,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-245,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-246,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-247,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-248,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-249,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-250,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-251,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-252,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-253,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-254,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-255,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-256,,posterior.trees,false,sample,bayesian,millennia,gray2009
posterior-257,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-258,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-259,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-260,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-261,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-262,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-263,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-264,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-265,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-266,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-267,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-268,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-269,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-270,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-271,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-272,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-273,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-274,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-275,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-276,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-277,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-278,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-279,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-280,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-281,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-282,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-283,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-284,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-285,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-286,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-287,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-288,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-289,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-290,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-291,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-292,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-293,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-294,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-295,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-296,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-297,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-298,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-299,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-300,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-301,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-302,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-303,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-304,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-305,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-306,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-307,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-308,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-309,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-310,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-311,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-312,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-313,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-314,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-315,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-316,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-317,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-318,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-319,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-320,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-321,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-322,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-323,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-324,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-325,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-326,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-327,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-328,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-329,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-330,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-331,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-332,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-333,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-334,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-335,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-336,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-337,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-338,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-339,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-340,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-341,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-342,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-343,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-344,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-345,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-346,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-347,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-348,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-349,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-350,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-351,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-352,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-353,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-354,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-355,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-356,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-357,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-358,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-359,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-360,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-361,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-362,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-363,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-364,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-365,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-366,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-367,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-368,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-369,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-370,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-371,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-372,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-373,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-374,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-375,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-376,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-377,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-378,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-379,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-380,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-381,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-382,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-383,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-384,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-385,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-386,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-387,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-388,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-389,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-390,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-391,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-392,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-393,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-394,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-395,,posterior.trees,true,sample,bayesian,millennia,gray2009
